UNNAMED: 0,PARTY NAME,PARTY TYPE,STATE NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN THE STATES,SEAT WON,TOTAL VALID VOTES POLLED BY PARTY,PERCENTAGE OF(%) VALID VOTES POLLED BY PARTY
,Bharatiya Janata Party,N,Jammu & Kashmir,3535313,7183129,3,1154220,32.6483114790685
,Bharatiya Janata Party,N,Jharkhand,12792013,20349796,12,5207439,40.7085186670777
,Bharatiya Janata Party,N,Karnataka,30780980,46209813,17,13350285,43.371864703463
,Bharatiya Janata Party,N,Kerala,17765332,24326650,0,1856796,10.4517945400626
,Bharatiya Janata Party,N,Lakshadweep,43116,49922,0,187,0.433713702569812
,Bharatiya Janata Party,N,Madhya Pradesh,29247970,48121301,27,16015695,54.7583131410488
,Bharatiya Janata Party,N,Maharashtra,48284248,80798823,23,13308961,27.5637740076225
,Bharatiya Janata Party,N,Manipur,1405132,1774369,0,168272,11.9755297011242
,Bharatiya Janata Party,N,Meghalaya,1047913,1567241,0,95979,9.15906186868566
,Bharatiya Janata Party,N,NCT OF Delhi,8232076,12711164,7,3838850,46.6328299204235
,Bharatiya Janata Party,N,Odisha,21196117,29196045,1,4638565,21.8840318724415
,Bharatiya Janata Party,N,Punjab,13786378,19608161,2,1209004,8.76955499116592
,Bharatiya Janata Party,N,Rajasthan,26782731,42994657,25,14895106,55.614589863894
,Bharatiya Janata Party,N,Sikkim,304635,370770,0,7279,2.38941684310733
,Bharatiya Janata Party,N,Tamil Nadu,40025367,55114867,1,2223566,5.5553919093359
,Bharatiya Janata Party,N,Tripura,2000046,2388822,0,115319,5.76581738620012
,Bharatiya Janata Party,N,Uttar Pradesh,80500789,138810557,71,34318854,42.6316989265782
,Bharatiya Janata Party,N,Uttarakhand,4343847,7127057,5,2429698,55.9342444611884
,Bharatiya Janata Party,N,West Bengal,51060534,62833113,2,8692297,17.0235136984662
,Communist Party of India,N,Andhra Pradesh,48026634,64934138,0,187702,0.390828972107435
,Communist Party of India,N,Assam,14938826,18837713,0,28930,0.193656449308667
,Communist Party of India,N,Bihar,35304368,63800160,0,413347,1.17080979894612
,Communist Party of India,N,Chhattisgarh,12030690,17664520,0,57365,0.476822193905753
,Communist Party of India,N,Goa,806897,1060777,0,10077,1.24885828054882
,Communist Party of India,N,Gujarat,25369118,40603104,0,13270,0.0523076915799753
,Communist Party of India,N,Haryana,11460931,16097233,0,22068,0.192549802454966
,Communist Party of India,N,Jharkhand,12792013,20349796,0,78029,0.609982181850503
,Communist Party of India,N,Karnataka,30780980,46209813,0,28203,0.0916247630842163
